X.1,X,...1,Name,Address,prktype,restroom,Website,playground,soccer,basketball,tennis,volleyball,baseball,discgolf,dogpark,picnic,sprayground,latitude,longitude,Label,type2
296,309,330,Ballantyne Park,"10082 COMMUNITY HOUSE RD CHARLOTTE, NC 28277",Community,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,NA,35.03961268,-80.82964644,,baseball
302,315,336,Nevin Park,"6100 STATESVILLE RD CHARLOTTE, NC 28269",Regional,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,NA,NA,NA,Yes,Yes,NA,Yes,Yes,35.30334369,-80.83983073,,baseball
304,317,338,Newell Park,"9130 NEWELL BAPTIST CHURCH RD CHARLOTTE, NC 28213",Community,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.28538752,-80.73462105,,baseball
307,320,341,Freedom Park,"2435 CUMBERLAND AV CHARLOTTE, NC 28203",Regional,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,35.19306827,-80.84480182,,baseball
310,323,344,David B. Waymer Park,"14200 HOLBROOKS RD HUNTERSVILLE, NC 28078",Town Park,Yes,https://www.huntersville.org/162/Parks-Recreation,Yes,NA,Yes,Yes,NA,Yes,NA,NA,NA,NA,35.3992988,-80.8342524,,baseball
321,334,356,Mint Hill Park on Wilgrove,"7750 JIM HARPER LN MINT HILL, NC 28227",Town Park,Yes,https://minthill.com/parks_recreation.php?Parks-Recreation-1,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,35.18920205,-80.65654982,,baseball
325,338,362,River Run Athletic Park,"13130 ROBERT WALKER DR DAVIDSON, NC 28036",Town Park,Yes,https://www.ci.davidson.nc.us/130/Parks-Recreation,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.47794649,-80.81883859,,baseball
336,349,375,Sugaw Creek Park,"943 W SUGAR CREEK RD CHARLOTTE, NC 28213",Community,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,35.27306558,-80.79372161,,baseball
339,352,378,Frank Liske Park - Cabarrus County,"4001 Stough Rd Concord, NC",County Park,Yes,https://www.cabarruscounty.us/location/frank-liske-park,Yes,Yes,NA,NA,NA,Yes,Yes,NA,Yes,NA,35.36005172,-80.62720134,,baseball
345,358,384,Bakers Creek Park/Greenway - City of Kanpolis,"1275 West A St Kannapolis, NC",Municipal Park,Yes,http://www.kanpolisnc.gov/GovernmentDepartments/ParksRecreation/Parks/tabid/131/Default.aspx,Yes,NA,Yes,NA,NA,Yes,Yes,NA,Yes,NA,35.51285791,-80.63227575,,baseball
348,361,389,W.W. Flowe Park - City of Concord,"99 Central Heights Dr Concord, NC",Municipal Park,Yes,https://www.concordnc.gov/Departments/Parks-Recreation/Facilities,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.35855342,-80.58862543,,baseball
350,363,391,Harrisburg Town Park - Town of Harrisburg,"191 Sims Parkway Harrisburg, NC",Municipal Park,Yes,https://www.harrisburgnc.org/departments/parks-recreation/parks-facilities/harrisburg-park,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.31956126,-80.65981461,,baseball
351,364,392,Stallings Road Park - Town of Harrisburg,"4050 Stallings Rd Harrisburg, NC",Municipal Park,Yes,https://www.harrisburgnc.org/departments/parks-recreation/parks-facilities/stallings-road-park,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.31571671,-80.64595883,,baseball
353,366,394,Walter Safrit Park - City of Kanpolis,"1415 Bethpage Rd Kannapolis, NC",Municipal Park,Yes,http://www.kanpolisnc.gov/GovernmentDepartments/ParksRecreation/Parks/tabid/131/Default.aspx,Yes,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,35.48529776,-80.6494535,,baseball
355,368,397,Marvin Caldwell Park - City of Concord,"362 Georgia St SW Concord, NC",Municipal Park,Yes,http://www.concordnc.gov/Departments/Parks-Recreation/Facilities,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,NA,35.39262675,-80.58279322,,baseball
356,369,398,Gibson Ball Park - City of Concord,"265 Ball Park Ct NW Concord, NC",Municipal Park,Yes,https://www.concordnc.gov/Departments/Parks-Recreation/Facilities,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.41413804,-80.59842725,,baseball
360,373,404,Frank Liske Park - Cabarrus County,"4001 Stough Rd Concord, NC",County Park,Yes,https://www.cabarruscounty.us/location/frank-liske-park,Yes,Yes,NA,NA,NA,Yes,Yes,NA,Yes,NA,35.36005172,-80.62720134,,baseball
366,379,410,Bakers Creek Park/Greenway - City of Kanpolis,"1275 West A St Kannapolis, NC",Municipal Park,Yes,http://www.kanpolisnc.gov/GovernmentDepartments/ParksRecreation/Parks/tabid/131/Default.aspx,Yes,NA,Yes,NA,NA,Yes,Yes,NA,Yes,NA,35.51285791,-80.63227575,,baseball
369,382,415,W.W. Flowe Park - City of Concord,"99 Central Heights Dr Concord, NC",Municipal Park,Yes,https://www.concordnc.gov/Departments/Parks-Recreation/Facilities,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.35855342,-80.58862543,,baseball
371,384,417,Harrisburg Town Park - Town of Harrisburg,"191 Sims Parkway Harrisburg, NC",Municipal Park,Yes,https://www.harrisburgnc.org/departments/parks-recreation/parks-facilities/harrisburg-park,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.31956126,-80.65981461,,baseball
372,385,418,Stallings Road Park - Town of Harrisburg,"4050 Stallings Rd Harrisburg, NC",Municipal Park,Yes,https://www.harrisburgnc.org/departments/parks-recreation/parks-facilities/stallings-road-park,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.31571671,-80.64595883,,baseball
374,387,420,Walter Safrit Park - City of Kanpolis,"1415 Bethpage Rd Kannapolis, NC",Municipal Park,Yes,http://www.kanpolisnc.gov/GovernmentDepartments/ParksRecreation/Parks/tabid/131/Default.aspx,Yes,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,35.48529776,-80.6494535,,baseball
376,389,423,Marvin Caldwell Park - City of Concord,"362 Georgia St SW Concord, NC",Municipal Park,Yes,http://www.concordnc.gov/Departments/Parks-Recreation/Facilities,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,NA,35.39262675,-80.58279322,,baseball
377,390,424,Gibson Ball Park - City of Concord,"265 Ball Park Ct NW Concord, NC",Municipal Park,Yes,https://www.concordnc.gov/Departments/Parks-Recreation/Facilities,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.41413804,-80.59842725,,baseball
381,394,430,Frank Liske Park - Cabarrus County,"4001 Stough Rd Concord, NC",County Park,Yes,https://www.cabarruscounty.us/location/frank-liske-park,Yes,Yes,NA,NA,NA,Yes,Yes,NA,Yes,NA,35.36005172,-80.62720134,,baseball
398,411,447,East End Park,"1200 N Alston Ave, Durham NC",Park,Yes,https://www.dprplaymore.org/Facilities/Facility/Details/East-End-Park-20,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,35.99827489,-78.88580127,,baseball
402,415,451,Hillside Park,"1301 S Roxboro St, Durham NC",Park,Yes,https://www.dprplaymore.org/Facilities/Facility/Details/Hillside-Park-32,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,35.9810043,-78.90443201,,baseball
419,433,470,Sherwood Park,"1720 Cheek Rd, Durham NC",Park,Yes,https://www.dprplaymore.org/Facilities/Facility/Details/Sherwood-Park-65,Yes,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,36.00398475,-78.87264977,,baseball
423,437,474,Valley Springs Park,"3805 Valley Springs Rd, Durham NC",Park,Yes,https://www.dprplaymore.org/Facilities/Facility/Details/Valley-Springs-Park-73,Yes,Yes,NA,NA,NA,Yes,Yes,NA,Yes,NA,36.05314698,-78.95777128,,baseball
447,461,507,Crest Street Park,"2503 Crest St, Durham NC",Park,Yes,https://www.dprplaymore.org/Facilities/Facility/Details/Crest-Street-Park-14,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,36.01297659,-78.93837861,,baseball
450,464,512,Ailey Young Park,"800 E Juniper Ave, Wake Forest, NC",NA,Yes,http://www.wakeforestnc.gov/ailey-young-park.aspx,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.98262858,-78.49665312,,baseball
454,468,519,Annie L. Jones Park,"1414 Tarbert Drive, Cary, NC",NA,Yes,http://www.towfcary.org/recreation-enjoyment/parks-greenways-environment/parks/annie-jones-park,Yes,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,35.76049407,-78.81142827,,baseball
457,471,524,Apex Jaycee Park,451 W Williams St  Apex NC,NA,No,https://www.apexnc.org/797/Apex-Jaycee-Park,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.73061902,-78.85982117,,baseball
459,473,528,Baileywick Road Park,"9501 Baileywick Rd, Raleigh, NC",NA,Yes,https://raleighnc.gov/places/baileywick-park,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.91020418,-78.66759666,,baseball
463,478,534,Biltmore Hills Park,"2615 Fitzgerald Dr, Raleigh, NC",NA,Yes,https://raleighnc.gov/places/biltmore-hills-park,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,35.74898062,-78.62809549,,baseball
468,483,541,Buffaloe Road Athletic Park,"5900 Buffaloe Rd, Raleigh, NC",NA,Yes,https://raleighnc.gov/places/buffaloe-road-athletic-park,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.84138148,-78.54166786,,baseball
474,489,547,Caroli Pines Park,"2305 Lake Wheeler Rd, Raleigh, NC",NA,No,https://raleighnc.gov/places/caroli-pines-park,Yes,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,35.74936891,-78.67136059,,baseball
480,497,556,Cedar Hills Park,"5600 Sweetbriar Dr, Raleigh, NC",NA,No,https://raleighnc.gov/places/cedar-hills-park,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,NA,35.85735879,-78.62907117,,baseball
501,520,584,Falcon Park,"611 E. Academy Street, Fuquay-Vari, NC",NA,Yes,http://www.fuquay-vari.org/departments-and-services/parks-recreation-and-cultural-resources/parks/falcon-park.html,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.58432876,-78.79093059,,baseball
508,528,597,Fred Fletcher Park,"805 Washington St, Raleigh, NC",NA,No,https://raleighnc.gov/places/fred-fletcher-park,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,35.79389124,-78.65257654,,baseball
509,529,598,Fred G. Bond Metro Park,"801 High House Road, Cary, NC",NA,Yes,http://www.towfcary.org/Departments/Parks__Recreation___Cultural_Resources/Parks_and_Greenways/Parks/Fred_G__Bond_Metro_Park.htm,NA,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.78538434,-78.82075351,,baseball
513,535,605,Garner Recreatiol Park,"221 East Garner Road, Garner NC, 27529",NA,Yes,http://www.garnernc.gov/Departments/Parks%20and%20Recreation/Parks.aspx?ID=5,Yes,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,35.70661032,-78.60341361,,baseball
517,541,612,Green Road Park,"4201 Green Rd, Raleigh NC",NA,Yes,https://raleighnc.gov/places/green-road-park,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,NA,35.84037483,-78.59079779,,baseball
523,547,618,Harold D. Ritter Park,"301 Lochmere Drive West, Cary, NC",NA,Yes,http://www.towfcary.org/Departments/Parks__Recreation___Cultural_Resources/Parks_and_Greenways/Parks/Harold_D__Ritter_Park.htm,NA,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.7286105,-78.77458105,,baseball
532,556,630,Holding Park,"133 W Owen Ave, Wake Forest, NC",NA,No,http://www.wakeforestnc.gov/holding-park.aspx,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,35.97784035,-78.51298343,,baseball
533,557,631,Honeycutt Park,"1032 Clear Creek Farm Rd, Raleigh, NC",NA,Yes,https://raleighnc.gov/places/honeycutt-park,Yes,NA,NA,NA,Yes,Yes,NA,NA,Yes,NA,35.90401368,-78.62612048,,baseball
537,561,637,Isabella Cann Park,"2601 Kilgore Ave, Raleigh, NC",NA,Yes,https://raleighnc.gov/places/isabella-cann-park,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.79265547,-78.66733052,,baseball
539,563,639,J.B. Flaherty Park,"1226 N White St, Wake Forest, NC",NA,Yes,http://www.wakeforestnc.gov/residents-parksrecreation_facilities_flaherty.aspx,NA,NA,NA,Yes,NA,Yes,NA,Yes,Yes,NA,35.99370193,-78.49114048,,baseball
542,566,642,Jaycee Park,"2405 Wade Ave, Raleigh, NC",NA,No,https://raleighnc.gov/places/jaycee-park,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,NA,35.80038762,-78.66327991,,baseball
543,567,643,John Chavis Memorial Park,"505 Martin Luther King Jr Blvd, Raleigh, NC",NA,No,https://raleighnc.gov/places/john-chavis-memorial-park,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,35.76812924,-78.63005197,,baseball
548,572,649,Kelly Road Park,"1609 Kelly Rd., Apex, NC",NA,No,https://www.apexnc.org/799/Kelly-Road-Park,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,35.73253185,-78.89550213,,baseball
549,573,650,Kentwood Park,"4531 Kaplan Dr, Raleigh, NC",NA,Yes,https://raleighnc.gov/places/kentwood-park,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,NA,35.7768682,-78.69618417,,baseball
552,576,654,Knightdale Community Park,"1137 Old Knight Rd, Knightdale, NC",NA,No,http://www.knightdalenc.gov/index.aspx?page=347,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.81013294,-78.47198074,,baseball
554,579,658,Knightdale Station Park,"810 rth First Avenue, Knightdale, NC",NA,No,http://www.knightdalenc.gov/index.aspx?page=562,Yes,NA,NA,NA,NA,Yes,NA,Yes,Yes,NA,35.79748483,-78.47512046,,baseball
560,585,665,Lake Lynn Park - Lynn Rd Entrance,"7921 Ray Rd, Raleigh, NC",NA,No,https://raleighnc.gov/places/lake-lynn-park,Yes,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,35.88989466,-78.69725594,,baseball
561,586,666,Lake Lynn Park - Ray Rd Entrance,"7921 Ray Rd, Raleigh, NC",NA,No,https://raleighnc.gov/places/lake-lynn-park,Yes,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,35.88989466,-78.69725594,,baseball
566,591,671,Laurel Hills Park,"3808 Edwards Mill Rd, Raleigh, NC",NA,Yes,https://raleighnc.gov/places/laurel-hills-park,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.83081559,-78.70037993,,baseball
568,593,676,Lion's Park,"815 Tanglewood Drive, Cary, NC",NA,Yes,http://www.towfcary.org/Departments/Parks__Recreation___Cultural_Resources/Parks_and_Greenways/Parks/Lions_Park.htm,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.7754089,-78.76867126,,baseball
569,594,677,Lions Park,"516 Dennis Ave, Raleigh, NC",NA,No,https://raleighnc.gov/places/lions-park,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,35.79845865,-78.61579212,,baseball
576,601,685,Marsh Creek Park,"3016 New Hope Rd, Raleigh, NC",NA,Yes,https://raleighnc.gov/places/marsh-creek-park,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.82263592,-78.5691216,,baseball
579,604,688,Method Community Park,"514 Method Rd, Raleigh, NC",NA,No,https://raleighnc.gov/places/method-community-park,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,35.79310195,-78.69374403,,baseball
582,607,693,Millbrook Exchange Park,"1815 Spring Forest Rd, Raleigh, NC",NA,No,https://raleighnc.gov/places/millbrook-exchange-park,Yes,NA,NA,Yes,NA,Yes,NA,Yes,Yes,NA,35.86660849,-78.60812633,,baseball
583,608,694,Mills Park,"425 Mills Park Drive, Cary, NC",NA,Yes,http://www.towfcary.org/recreation-enjoyment/parks-greenways-environment/parks/mills-school-park,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.81273522,-78.90266086,,baseball
586,611,701,Morrisville Community Park,"1520 Morrisville Parkway, Morrisville NC",NA,Yes,http://www.towfmorrisville.org/government/departments-services/parks-recreation-cultural-resources/parks-and-greenways/morrisville-community-park,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.81200273,-78.84487305,,baseball
590,615,706,rth Hills Park,"100 Chowan Cir, Raleigh, NC",NA,Yes,https://raleighnc.gov/places/rth-hills-park,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,35.84029132,-78.6558581,,baseball
592,617,709,Oakwood Park,"910 Brookside Dr, Raleigh, NC",NA,Yes,https://raleighnc.gov/places/oakwood-park,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,NA,35.78935124,-78.6260943,,baseball
594,619,711,Optimist Park,"5900 Whittier Dr, Raleigh, NC",NA,Yes,https://raleighnc.gov/places/optimist-park,Yes,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,35.86255617,-78.64358808,,baseball
602,628,722,Pullen Arts Center,"105 Pullen Rd, Raleigh, NC",NA,No,https://raleighnc.gov/places/pullen-arts-center,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.78267878,-78.66546481,,baseball
610,636,732,Roberts Park,"1300 E Martin St, Raleigh, NC",NA,No,https://raleighnc.gov/places/roberts-park,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,35.77617532,-78.61948373,,baseball
618,645,742,Sanderford Road Park,"2623 Sanderford Rd, Raleigh, NC",NA,No,https://raleighnc.gov/places/sanderford-road-park,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,35.74344708,-78.6139055,,baseball
623,650,747,Shiloh Park/Luther Green Center,"922 Church Street, Morrisville NC",NA,Yes,http://www.towfmorrisville.org/government/departments-services/parks-recreation-cultural-resources/parks-and-greenways/shiloh-park-luther-green-center,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.84905577,-78.84235246,,baseball
624,651,749,South Garner Park,"1210 Poole Drive, Garner NC, 27529",NA,Yes,http://www.garnernc.gov/Departments/Parks%20and%20Recreation/Parks.aspx?ID=24,Yes,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,35.69371118,-78.62425977,,baseball
625,652,750,South Park,"900 South Main Street, Fuquay-Vari, NC",NA,Yes,http://www.fuquay-vari.org/departments-and-services/parks-recreation-and-cultural-resources/parks/south-park.html,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.57203792,-78.8006726,,baseball
626,653,752,Spring Forest Road Park,"4203 Spring Forest Rd, Raleigh, NC",NA,No,https://raleighnc.gov/places/spring-forest-road-park,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,35.85614061,-78.57169953,,baseball
636,664,765,Ting Park,"1151 N. Main St., Holly Springs NC",NA,No,https://www.hollyspringsnc.us/607/Ting-Park,NA,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,35.66680509,-78.83531529,,baseball
639,667,768,Tyler Run Park,"830 Pineview Dr, Wake Forest, NC",NA,No,http://www.wakeforestnc.gov/tyler-run-park.aspx,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.97162929,-78.52117058,,baseball
641,669,770,USA Baseball at Brooks Park,"7445 Green Hope School Road, Cary, NC",NA,Yes,http://www.towfcary.org/recreation-enjoyment/facilities/usa-baseball-tiol-training-complex,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.80215768,-78.89215553,,baseball
648,677,779,Walnut Creek Softball Complex,"1201 Sunnybrook Rd, Raleigh, NC",NA,No,https://raleighnc.gov/places/walnut-creek-athletic-complex,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.76406321,-78.58221984,,baseball
652,681,783,Wendell Park,"601 W. Third Street, Wendell, NC",NA,Yes,http://www.towfwendell.com/departments/parks-and-recreation,Yes,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,NA,35.78054637,-78.36102902,,baseball
660,690,796,Worthdale Park,"1001 Cooper Rd, Raleigh, NC",NA,Yes,https://raleighnc.gov/places/worthdale-park,Yes,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,35.7636738,-78.58743996,,baseball
664,694,25,Revolution Park,"2425 REVOLUTION PARK DR CHARLOTTE, NC 28208",Community,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.21592519,-80.8748912,,baseball
669,699,229,Jack Hughes Park,"330 JACK HUGHES LN PINEVILLE, NC 28134",Town Park,Yes,http://www.pinevillenc.gov/Departments/ParksRecreaton/tabid/103/Default.aspx,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.0852439,-80.89474054,,baseball
677,707,370,Abernathy Park,"205 GLENDALE DR HUNTERSVILLE, NC 28078",Town Park,Yes,https://www.huntersville.org/162/Parks-Recreation,Yes,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,35.41846495,-80.8377685,,baseball
678,708,385,Hartsell Park and Rec Center - City of Concord,"60 Hartsell School Rd Concord, NC",Municipal Park,Yes,http://www.concordnc.gov/Departments/Parks-Recreation/Facilities,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,35.39144589,-80.5919547,,baseball
679,709,396,Les Myers Park - City of Concord,"338 Lawndale Ave SE Concord, NC",Municipal Park,Yes,http://www.concordnc.gov/Departments/Parks-Recreation/Facilities,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,NA,35.39498324,-80.56323614,,baseball
681,711,411,Hartsell Park and Rec Center - City of Concord,"60 Hartsell School Rd Concord, NC",Municipal Park,Yes,http://www.concordnc.gov/Departments/Parks-Recreation/Facilities,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,35.39144589,-80.5919547,,baseball
682,712,422,Les Myers Park - City of Concord,"338 Lawndale Ave SE Concord, NC",Municipal Park,Yes,http://www.concordnc.gov/Departments/Parks-Recreation/Facilities,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,NA,35.39498324,-80.56323614,,baseball
694,724,522,Apex Community Park,"2200 Laura Duncan Rd., Apex, NC",NA,Yes,http://www.apexnc.org/795/Apex-Community-Park,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,NA,35.73577828,-78.84306552,,baseball
704,734,625,Heritage High Park,"1140 Forestville Rd, Wake Forest, NC",NA,Yes,http://www.wakeforestnc.gov/heritage-high-park.aspx,NA,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,35.94013433,-78.50736478,,baseball
705,735,634,Hunter Street Park,"1250 Ambergate Station, Apex, NC",NA,Yes,https://www.apexnc.org/798/Hunter-Street-Park,Yes,NA,NA,NA,NA,Yes,NA,Yes,Yes,NA,35.73798268,-78.84676554,,baseball
713,744,713,Parrish Womble Park,"1201 Grigsby Ave., Holly Springs, NC",NA,Yes,http://www.hollyspringsnc.us/index.aspx?NID=332,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.64191951,-78.83062098,,baseball
714,745,727,Rand Mill Park,"508 Rand Mill Road, Garner NC, 27529",NA,Yes,http://www.garnernc.gov/Departments/Parks%20and%20Recreation/Parks.aspx?ID=23,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.69974644,-78.60514537,,baseball
732,16,494,Sw Hill Road Park,"619 Sw Hill Rd, Durham NC",Park,No,https://www.dprplaymore.org/Facilities/Facility/Details/Sw-Hill-Road-Park-66,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,NA,36.11068,-78.89044,,baseball
746,3,72,James Hoyt Wilhelm Park,"19018 SMITH CR CORNELIUS, NC 28031",Town Park,Yes,https://www.cornelius.org/103/Parks-Arts-Recreation-Culture,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,35.480885,-80.864699,,baseball
752,18,511,Action Park,"609 Wake Chapel Road, Fuquay-Vari, NC",NA,Yes,http://www.fuquay-vari.org/departments-and-services/parks-recreation-and-cultural-resources/parks/action-park-description.html,Yes,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,35.591424,-78.801715,,baseball
754,22,538,Brentwood Park,"3315 Vinson Ct, Raleigh, NC",NA,No,https://raleighnc.gov/places/brentwood-park,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,35.82849982,-78.59954789,,baseball
755,23,557,Centennial Park,"1015 New Bethel Church Road, Garner NC, 27529",NA,Yes,http://www.garnernc.gov/Departments/Parks%20and%20Recreation/Parks.aspx?ID=1,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.669359,-78.6046,,baseball
759,37,674,Lexie Lane Park,"301 N Dixon Street, Cary, NC",NA,Yes,http://www.towfcary.org/Departments/Parks__Recreation___Cultural_Resources/Parks_and_Greenways/Parks/Lexie_Lane_Park.htm,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.788974,-78.789374,,baseball
760,43,751,Southgate Park,"1801 Proctor Rd, Raleigh, NC",NA,No,https://raleighnc.gov/places/southgate-park,Yes,NA,NA,NA,Yes,Yes,NA,NA,Yes,NA,35.75511244,-78.60782548,,baseball
3,3,6,Camp Greene Park,"1221 ALLEGHANY ST CHARLOTTE, NC 28208",Community,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,35.23773693,-80.88869823,,basketball
4,4,7,Lincoln Heights Park,"1819 CATHERINE SIMMONS AV CHARLOTTE, NC 28216",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,35.26332247,-80.84842287,,basketball
6,6,9,Solomans Park,"3299 VENICE ST CHARLOTTE, NC 28216",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,35.26088666,-80.87117373,,basketball
9,9,12,West Charlotte Recreation Center,"2401 KENDALL DR CHARLOTTE, NC 28216",Recreation Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,35.26860158,-80.85669272,,basketball
10,10,13,West Charlotte Park,"2401 KENDALL DR CHARLOTTE, NC 28216",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,NA,NA,NA,NA,Yes,Yes,35.26860158,-80.85669272,,basketball
15,15,18,Tom Hunter Park,"919 TOM HUNTER RD CHARLOTTE, NC 28213",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,35.2782432,-80.7814112,,basketball
16,16,19,Ramblewood Soccer Complex,"10200 NATIONS FORD RD CHARLOTTE, NC 28273",Community,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,35.12047477,-80.90342041,,basketball
