X.1,X,...1,Name,Address,prktype,restroom,Website,playground,soccer,basketball,tennis,volleyball,baseball,discgolf,dogpark,picnic,sprayground,latitude,longitude,Label,type2
262,270,286,Park Road Park,"6220 PARK RD CHARLOTTE, NC 28210",Community,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,Yes,Yes,NA,NA,Yes,NA,35.14689227,-80.84991983,,volleyball
268,281,298,JV Washam Recreation Center,"9611 WESTMORELAND RD CORNELIUS, NC 28031",Recreation Center,Yes,https://www.cornelius.org/103/Parks-Arts-Recreation-Culture,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,35.46419411,-80.8679597,,volleyball
282,295,314,Robbins Park,"17738 WEST CATAWBA AV CORNELIUS, NC 28031",Town Park,Yes,https://www.cornelius.org/103/Parks-Arts-Recreation-Culture,Yes,NA,NA,Yes,Yes,NA,Yes,NA,Yes,NA,35.45603536,-80.8884532,,volleyball
284,297,316,Bailey Road Recreation Center,"11900 BAILEY RD CORNELIUS, NC 28031",Recreation Center,Yes,https://www.cornelius.org/103/Parks-Arts-Recreation-Culture,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,35.46789281,-80.83931247,,volleyball
295,308,328,Mint Hill Veterans Memorial Park,"8850 FAIRVIEW RD MINT HILL, NC 28227",Town Park,Yes,https://minthill.com/parks_recreation.php?Parks-Recreation-1,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,NA,NA,35.18000491,-80.63448896,,volleyball
307,320,341,Freedom Park,"2435 CUMBERLAND AV CHARLOTTE, NC 28203",Regional,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,35.19306827,-80.84480182,,volleyball
332,345,371,Northern Regional Recreation Center,"18121 OLD STATESVILLE RD CORNELIUS, NC 28031",Recreation Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,35.45931644,-80.84365027,,volleyball
336,349,375,Sugaw Creek Park,"943 W SUGAR CREEK RD CHARLOTTE, NC 28213",Community,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,35.27306558,-80.79372161,,volleyball
471,486,544,Campbell Lodge,"3237 Spottswood St, Raleigh, NC",NA,No,https://raleighnc.gov/places/durant-ture-preserve,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,35.88927819,-78.58052209,,volleyball
474,489,547,Caroli Pines Park,"2305 Lake Wheeler Rd, Raleigh, NC",NA,No,https://raleighnc.gov/places/caroli-pines-park,Yes,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,35.74936891,-78.67136059,,volleyball
496,515,578,Durant ture Preserve,"8305 Camp Durant Rd, Raleigh, NC",NA,Yes,https://raleighnc.gov/places/durant-ture-preserve,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,35.89459819,-78.57845913,,volleyball
500,519,583,Eliza Pool Park,"1600 Fayetteville St, Raleigh, NC",NA,No,https://raleighnc.gov/places/eliza-pool-park,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,35.76082664,-78.64356821,,volleyball
517,541,612,Green Road Park,"4201 Green Rd, Raleigh NC",NA,Yes,https://raleighnc.gov/places/green-road-park,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,NA,35.84037483,-78.59079779,,volleyball
533,557,631,Honeycutt Park,"1032 Clear Creek Farm Rd, Raleigh, NC",NA,Yes,https://raleighnc.gov/places/honeycutt-park,Yes,NA,NA,NA,Yes,Yes,NA,NA,Yes,NA,35.90401368,-78.62612048,,volleyball
542,566,642,Jaycee Park,"2405 Wade Ave, Raleigh, NC",NA,No,https://raleighnc.gov/places/jaycee-park,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,NA,35.80038762,-78.66327991,,volleyball
556,581,661,Lake Crabtree County Park,"1400 Aviation Pkwy., Morrisville, NC  27560",NA,Yes,https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/lake-crabtree-county-park,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,35.84521882,-78.80136913,,volleyball
562,587,667,Lake Wheeler Park,"6404 Lake Wheeler Rd, Raleigh, NC",NA,Yes,https://raleighnc.gov/places/lake-wheeler-park,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,35.69482142,-78.69341224,,volleyball
572,597,681,Longview Park,"321 Bertie Dr, Raleigh, NC",NA,No,https://raleighnc.gov/places/longview-pool,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,35.78430363,-78.61024236,,volleyball
609,635,730,Roake Park,"1500 Cherokee Dr, Raleigh, NC",NA,No,https://raleighnc.gov/places/roake-park,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,35.80055232,-78.64017902,,volleyball
658,688,792,Peter Williams Park,"1525 Lynn Rd, Raleigh, NC",NA,No,https://raleighnc.gov/places/peter-williams-park,Yes,NA,NA,Yes,Yes,NA,NA,NA,Yes,NA,35.8708713,-78.66536397,,volleyball
671,701,303,Eastway Regional Recreation Center,"3150 EASTWAY PARK DR CHARLOTTE, NC 28213",Recreation Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,35.254277,-80.77792126,,volleyball
694,724,522,Apex Community Park,"2200 Laura Duncan Rd., Apex, NC",NA,Yes,http://www.apexnc.org/795/Apex-Community-Park,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,NA,35.73577828,-78.84306552,,volleyball
696,726,526,Apex ture Park (Seymour Athletic Fields),"2500 Evans Road, Apex NC",NA,Yes,https://www.apexnc.org/800/ture-Park-Seymour-Athletic-Fields,Yes,NA,NA,Yes,Yes,NA,NA,NA,Yes,NA,35.70128275,-78.90636105,,volleyball
701,731,566,Crowder County Park,"4709 Ten Ten Road, Wake County NC",NA,Yes,https://www.wakegov.com/departments-government/parks-recreation-and-open-space/all-parks-trails/crowder-county-park,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,35.69132408,-78.76536151,,volleyball
731,34,653,Kiwanis Park,"2525 ble Rd, Raleigh, NC",NA,No,https://raleighnc.gov/places/kiwanis-park,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,35.81717867,-78.6317753,,volleyball
736,40,704,rth Cary Park,"1100 rwell Boulevard, Cary, NC",NA,Yes,http://www.towfcary.org/recreation-enjoyment/parks-greenways-environment/parks/rth-cary-park,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,35.82139,-78.787315,,volleyball
760,43,751,Southgate Park,"1801 Proctor Rd, Raleigh, NC",NA,No,https://raleighnc.gov/places/southgate-park,Yes,NA,NA,NA,Yes,Yes,NA,NA,Yes,NA,35.75511244,-78.60782548,,volleyball
